,Country Name,Latitude,Longitude,Number of Arrivals
0,Canada,61.06669220000001,-107.991707,35069520.0
1,Hungary,47.181758499999994,19.506093700000005,40855880.0
2,Croatia,45.56434420000002,17.01189540000001,44048080.0
3,Italy,42.638426099999975,12.674297000000001,70516584.0624
4,Poland,52.21593299999997,19.13442199999999,72186480.0
5,Spain,39.32606850000001,-4.837979099999999,91367480.0
6,Mexico,22.5000485,-100.00003699999998,92247720.0
7,China,35.00007400000001,104.99992699999999,112208680.0
8,United States,39.78373039999999,-100.445882,128229490.63200003
9,France,46.603353999999996,1.8883335000000008,192684352.94117647
