hotel_id,hotel_name,min_total_price,distance_to_cc,district,address,zip,review_score_word,review_score,checkout,latitude,longitude,urgency_message,url
1106729,West Side YMCA,1320.8,0.35,Upper West Side,5 West 63rd Street,NY 10023,Good,7.3,"{'from': '', 'until': '11:00'}",40.7708451,-73.9806124,,https://www.booking.com/hotel/us/west-side-ymca.html
2039182,Park West Hotel,3083.10475,3.90,Upper West Side,465 Central Park West,NY 10025,Pleasant,6.5,"{'until': '12:30', 'from': '12:00'}",40.7985269,-73.9600439,Only 2 left at this price on Booking.com,https://www.booking.com/hotel/us/astor-on-central-park.html
56106,AKA Central Park,4816.175,0.70,Manhattan,42 West 58th Street,NY 10019,Excellent,8.6,"{'until': '11:00', 'from': ''}",40.7644030651776,-73.9756575599313,Only 4 left at this price on Booking.com,https://www.booking.com/hotel/us/korman-kommunities-central-park.html
46601,Sonder l Chambers,5099.7195,0.80,Manhattan,15 West 56th Street,NY 10019,Excellent,8.8,"{'from': '', 'until': '11:00'}",40.7628657041427,-73.9755992218852,Only 1 left at this price on Booking.com,https://www.booking.com/hotel/us/chambers.html
56985,Park Central,5346.778,0.40,Manhattan,870 7th Avenue at 56th Street,NY 10019,Good,7.8,"{'from': '', 'until': '12:00'}",40.7645879320974,-73.980937153101,,https://www.booking.com/hotel/us/park-central.html
55861,Shoreham Hotel,5437.375125,0.80,Manhattan,33 West 55th Street,NY 10019,Good,7.8,"{'from': '11:00', 'until': '11:00'}",40.7624213001252,-73.9763680100441,Only 4 left at this price on Booking.com,https://www.booking.com/hotel/us/shoreham.html
1910127,Carnegie Hotel,6367.135,0.45,Manhattan,160 West 56th Street,NY 10019,Excellent,8.9,"{'until': '12:00', 'from': ''}",40.7645825694967,-73.9800860165155,,https://www.booking.com/hotel/us/carnegie-hotel-new-york.html
241699,The Manhattan Club,6632.6675,0.35,Manhattan,200 West 56th Street,NY 10019,Very Good,8.3,"{'until': '11:00', 'from': '02:00'}",40.764991183979,-73.9811463654041,Only 3 left at this price on Booking.com,https://www.booking.com/hotel/us/the-manhattan-club.html
621411,WestHouse Hotel New York,6885.50665,0.40,Manhattan,201 West 55th Street,NY 10019,Very Good,8.1,"{'until': '12:00', 'from': ''}",40.7645992616067,-73.9808902914868,,https://www.booking.com/hotel/us/westhouse-new-york.html
606890,"Le Meridien New York, Central Park",7900.7625,0.50,Manhattan,120 West 57th Street,NY 10019,Good,7.4,"{'from': '', 'until': '11:00'}",40.764494,-73.978447,,https://www.booking.com/hotel/us/new-york-central-park-le-meridien.html
187807,West 57th Street by Hilton Club,9320.949175,0.55,Manhattan,102 West 57th Street,NY 10019,Very Good,8.4,"{'from': '', 'until': '10:00'}",40.7645046404719,-73.9779780060053,Only 3 left at this price on Booking.com,https://www.booking.com/hotel/us/west-57th-street-by-hilton-club.html
57009,Park Lane New York,10053.823,0.65,Manhattan,36 Central Park South,NY 10019,Good,7.7,"{'from': '', 'until': '12:00'}",40.7650084516372,-73.9753836393356,,https://www.booking.com/hotel/us/helmsley-park-lane.html
56921,Thompson Central Park - New York,12455.19625,0.55,Manhattan,119 West 56th Street,NY 10019,Very Good,8.0,"{'from': '', 'until': '12:00'}",40.7641694414114,-73.9786009490489,,https://www.booking.com/hotel/us/thompson-centralpark.html
1225214,1 Hotel Central Park,13106.735275,0.60,Manhattan,1414 Avenue of the Americas,NY 10019,Excellent,8.7,"{'until': '12:00', 'from': ''}",40.7648321,-73.9768231,,https://www.booking.com/hotel/us/1-hotel-central-park.html
24900,Loews Regency New York Hotel,13346.23,1.20,Upper East Side,540 Park Avenue,NY 10065,Excellent,8.7,"{'from': '', 'until': '11:00'}",40.7644558577474,-73.968969630619,,https://www.booking.com/hotel/us/loews-regency.html
59182,JW Marriott Essex House New York,13350.8375,0.35,Manhattan,160 Central Park South,NY 10019,Very Good,8.3,"{'until': '11:00', 'from': '06:00'}",40.7664071170503,-73.9783729612827,,https://www.booking.com/hotel/us/j-e-house-new-york-new-york.html
291324,Trump International New York,14138.465,0.15,Upper West Side,One Central Park West,NY 10023,Wonderful,9.0,"{'from': '', 'until': '12:00'}",40.769089587591,-73.9814112335443,Only 1 left at this price on Booking.com,https://www.booking.com/hotel/us/trump-international-new-york.html
76896,"The Pierre, A Taj Hotel, New York",18789.99295,0.95,Upper East Side,Two East 61st Street at 5th Avenue,NY 10065,Excellent,8.9,"{'from': '', 'until': '12:00'}",40.7651440533852,-73.9713630080223,,https://www.booking.com/hotel/us/the-pierre-a-taj.html
25435,"The Ritz-Carlton New York, Central Park",20944.975,0.60,Manhattan,50 Central Park South,NY 10019,Very Good,8.5,"{'from': '', 'until': '12:00'}",40.7653152057583,-73.9760152995587,,https://www.booking.com/hotel/us/the-ritz-carlton-new-york-central-park.html
270490,The St. Regis New York,23181.4525,1.00,Midtown East,Two East 55th Street at Fifth Avenue,NY 10022,Very Good,8.2,"{'until': '12:00', 'from': ''}",40.7614085557548,-73.9743939042092,,https://www.booking.com/hotel/us/st-regis-new-york.html
